"sku";"product-id";"product-id-type";"description";"internal-description";"price";"price-additional-info";"quantity";"min-quantity-alert";"state";"available-start-date";"available-end-date";"logistic-class";"favorite-rank";"discount-start-date";"discount-end-date";"discount-price";"update-delete";"allow-quote-requests";"leadtime-to-ship";"min-order-quantity";"max-order-quantity";"package-quantity";"price[channel=0100]";"discount-start-date[channel=0100]";"discount-end-date[channel=0100]";"discount-price[channel=0100]";"price[channel=1000]";"discount-start-date[channel=1000]";"discount-end-date[channel=1000]";"discount-price[channel=1000]";"price[channel=2000]";"discount-start-date[channel=2000]";"discount-end-date[channel=2000]";"discount-price[channel=2000]";"price[channel=5000]";"discount-start-date[channel=5000]";"discount-end-date[channel=5000]";"discount-price[channel=5000]";"price[channel=7000]";"discount-start-date[channel=7000]";"discount-end-date[channel=7000]";"discount-price[channel=7000]";"commercial-on-collection";"plt";"plt-unit";"shelflife";"shelflife-unit";"warranty";"warranty-unit";"up-sell";"cross-sell";"vendor-reference";"error-line";"error-message"
"A0086CM050020";"A0086CM050020";"mpnTitle";"A0086CM050020";"";"9.07";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"157";"The product does not exist"
"A0099CM050018";"A0099CM050018";"mpnTitle";"A0099CM050018";"";"15.75";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"158";"The product does not exist"
"ASNA0021-25P14";"ASNA0021-25P14";"mpnTitle";"ASNA0021-25P14";"";"4.56";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"237";"The product does not exist"
"ASNA0045BC100L";"ASNA0045BC100L";"mpnTitle";"ASNA0045BC100L";"";"25.99";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"243";"The product does not exist"
"ASNA0078A405";"ASNA0078A405";"mpnTitle";"ASNA0078A405";"";"6.06";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"249";"The product does not exist"
"ASNA0078-E503";"ASNA0078-E503";"mpnTitle";"BLIND RIVET";"";"2.75";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"256";"The product does not exist"
"ASNA0080-409A";"ASNA0080-409A";"mpnTitle";"ASNA0080-409A";"";"58.38";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"257";"The product does not exist"
"ASNA0363T0405";"ASNA0363T0405";"mpnTitle";"ASNA0363T0405";"";"11.22";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"263";"The product does not exist"
"ASNA0363T-0406";"ASNA0363T-0406";"mpnTitle";"ASNA0363T-0406";"";"12.97";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"264";"The product does not exist"
"ASNA2049DXJ4009";"ASNA2049DXJ4009";"mpnTitle";"ASNA2049DXJ4009";"";"7.4";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"266";"The product does not exist"
