sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;favorite-rank;discount-start-date;discount-end-date;discount-price;update-delete;allow-quote-requests;leadtime-to-ship;min-order-quantity;max-order-quantity;package-quantity;price[channel=0100];discount-start-date[channel=0100];discount-end-date[channel=0100];discount-price[channel=0100];price[channel=1000];discount-start-date[channel=1000];discount-end-date[channel=1000];discount-price[channel=1000];price[channel=2000];discount-start-date[channel=2000];discount-end-date[channel=2000];discount-price[channel=2000];price[channel=5000];discount-start-date[channel=5000];discount-end-date[channel=5000];discount-price[channel=5000];price[channel=7000];discount-start-date[channel=7000];discount-end-date[channel=7000];discount-price[channel=7000];commercial-on-collection;plt;plt-unit;shelflife;shelflife-unit;warranty;warranty-unit;up-sell;cross-sell;vendor-reference
A0164TK050S006X;mkp-000000000001715692;SKU;;;6.35;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
12GN;mkp-000000000001715683;SKU;;;11.94;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS6606D24;mkp-000000000001715530;SKU;;;13.24;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
MS27980-17B;mkp-000000000001715638;SKU;;;13.82;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS6607D19;mkp-000000000001715531;SKU;;;17.87;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
BACR15BA4AD8C;mkp-000000000001715541;SKU;;;0.05;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS6703U2;mkp-000000000001715655;SKU;;;1.46;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
ASNA0341T0502;mkp-000000000001695406;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NSA55136-001;mkp-000000000001687109;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
L23310-015020CA;mkp-000000000001715658;SKU;;;0.11;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
