"mkpCategory";"code";"mpnTitle";"description [en]";"name";"productSummary [en]";"productPresentation [en]";"productUnit";"packageContent";"packageContentUnit";"thirdLevel";"dangerous";"serialized";"logCard";"easaf1";"variantGroupCode";"eccn";"cm_code";"internalUnit";"id";"line_number";"errors"
"080_007";"FALSE";"ASNA0078A503";"RIVET";"ASNA0078A503";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0078A503";"EAR";"";"











EA




























";"ASNA0078A503";"372";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"ASNA0078A504";"RIVET";"ASNA0078A504";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0078A504";"EAR";"";"











EA




























";"ASNA0078A504";"373";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"ASNA0078E402";"BLIND RIVET";"ASNA0078E402";"BLIND RIVET";"BLIND RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0078E402";"EAR";"";"











EA




























";"ASNA0078E402";"374";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"ASNA0078E403";"RIVET BLIND";"ASNA0078E403";"RIVET BLIND";"RIVET BLIND";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0078E403";"EAR";"";"











EA




























";"ASNA0078E403";"375";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"ASNA0078E404";"ASNA0078E404";"ASNA0078E404";"ASNA0078E404";"ASNA0078E404";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0078E404";"EAR";"";"











EA




























";"ASNA0078E404";"376";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_007";"FALSE";"ASNA0078-E503";"BLIND RIVET";"ASNA0078-E503";"BLIND RIVET";"BLIND RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0078-E503";"EAR";"";"











EA




























";"ASNA0078-E503";"377";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0079-411A";"ASNA0079-411A";"ASNA0079-411A";"ASNA0079-411A";"ASNA0079-411A";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0079-411A";"EAR";"";"











EA




























";"ASNA0079-411A";"378";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0080-409A";"ASNA0080-409A";"ASNA0080-409A";"ASNA0080-409A";"ASNA0080-409A";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0080-409A";"EAR";"";"











EA




























";"ASNA0080-409A";"379";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0080-411A";"ASNA0080-411A";"ASNA0080-411A";"ASNA0080-411A";"ASNA0080-411A";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0080-411A";"EAR";"";"











EA




























";"ASNA0080-411A";"380";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0082A303";"ASNA0082A303";"ASNA0082A303";"ASNA0082A303";"ASNA0082A303";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0082A303";"EAR";"";"











EA




























";"ASNA0082A303";"381";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0113-32CA";"WASHER";"ASNA0113-32CA";"WASHER";"WASHER";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0113-32CA";"EAR";"";"











EA




























";"ASNA0113-32CA";"382";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0113-36ADL";"ASNA0113-36ADL";"ASNA0113-36ADL";"ASNA0113-36ADL";"ASNA0113-36ADL";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0113-36ADL";"EAR";"";"











EA




























";"ASNA0113-36ADL";"383";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0113-48ADL";"WASHER";"ASNA0113-48ADL";"WASHER";"WASHER";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0113-48ADL";"EAR";"";"











EA




























";"ASNA0113-48ADL";"384";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0341T0402";"BLIND RIVET";"ASNA0341T0402";"BLIND RIVET";"BLIND RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0341T0402";"EAR";"";"











EA




























";"ASNA0341T0402";"385";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0341T0404";"BLIND RIVET";"ASNA0341T0404";"BLINBD RIVET";"BLIND RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0341T0404";"EAR";"";"











EA




























";"ASNA0341T0404";"386";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0348-050";"NUT";"ASNA0348-050";"NUT";"NUT";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0348-050";"EAR";"";"











EA




























";"ASNA0348-050";"387";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_014";"FALSE";"ASNA0363T0401";"BLIND RIVET";"ASNA0363T0401";"BLIND RIVET";"BLIND RIVET";"EA";"1";"BG";"false";"false";"false";"false";"false";"ASNA0363T0401";"EAR";"";"











EA




























";"ASNA0363T0401";"388";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0363T0405";"ASNA0363T0405";"ASNA0363T0405";"ASNA0363T0405";"ASNA0363T0405";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0363T0405";"EAR";"";"











EA




























";"ASNA0363T0405";"389";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0363T-0406";"ASNA0363T-0406";"ASNA0363T-0406";"ASNA0363T-0406";"ASNA0363T-0406";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0363T-0406";"EAR";"";"











EA




























";"ASNA0363T-0406";"390";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA0363T0502";"BLIND RIVET";"ASNA0363T0502";"BLIND RIVET";"BLIND RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0363T0502";"EAR";"";"











EA




























";"ASNA0363T0502";"391";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0363T0504";"RIVET";"ASNA0363T0504";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0363T0504";"EAR";"";"











EA




























";"ASNA0363T0504";"392";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_013";"FALSE";"ASNA0363T0507";"ASNA0363T0507";"ASNA0363T0507";"ASNA0363T0507";"ASNA0363T0507";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA0363T0507";"EAR";"";"











EA




























";"ASNA0363T0507";"393";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_003";"FALSE";"ASNA2049DCJ3210";"ASNA2049DCJ3210";"ASNA2049DCJ3210";"ASNA2049DCJ3210";"ASNA2049DCJ3210";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2049DCJ3210";"EAR";"";"











EA




























";"ASNA2049DCJ3210";"394";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_003";"FALSE";"ASNA2049DCJ3211";"ASNA2049DCJ3211";"ASNA2049DCJ3211";"ASNA2049DCJ3211";"ASNA2049DCJ3211";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2049DCJ3211";"EAR";"";"











EA




























";"ASNA2049DCJ3211";"395";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_003";"FALSE";"ASNA2049DXJ4009";"ASNA2049DXJ4009";"ASNA2049DXJ4009";"ASNA2049DXJ4009";"ASNA2049DXJ4009";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2049DXJ4009";"EAR";"";"











EA




























";"ASNA2049DXJ4009";"396";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_013";"FALSE";"ASNA2050DXJ4010";"ASNA2050DXJ4010";"ASNA2050DXJ4010";"ASNA2050DXJ4010";"ASNA2050DXJ4010";"EA";"1";"EA";"false";"false";"false";"false";"false";"ASNA2050DXJ4010";"EAR";"";"











EA




























";"ASNA2050DXJ4010";"397";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
