row_number,reason,manufacturer_name,airbus_material,manufacturer_part_number,cage_code,standard
1010342,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010343,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010344,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010345,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010346,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010347,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010348,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010349,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010350,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010351,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010352,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010353,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010354,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010355,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010356,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010357,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010358,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010359,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010360,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010361,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010362,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010363,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010364,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010365,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010366,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010367,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010368,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010369,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010370,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010371,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010372,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010373,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010374,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010375,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010376,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010377,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010378,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010379,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010380,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010381,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010382,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010383,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010384,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010385,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010386,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010387,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010388,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010389,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010390,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010391,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010392,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010393,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010394,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010395,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010396,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010397,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010398,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010399,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010400,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010401,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010402,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010403,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010404,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010405,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010406,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010407,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010408,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010409,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010410,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010411,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010412,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010413,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010414,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010415,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010416,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010417,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010418,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010419,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010420,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010421,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010422,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
1010423,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
