part_number,quantity,guide_price
LN9139M5X30,5,8.0835
M210D4N,1,160.5225
M210-D4N,1,160.5225
"DIN9021B6,4AL",100,3.1195
MS3470L14-19S,1,71.944
8630-82,1,6.052
LN65049-40M,20,1.836
LN9348-05,20,1.224
LN9179-2407E,100,0.238
MS3472L18-32S,1,218.6625
MS3476L18-32P,1,179.7495
RV2NBYSD103B,1,71.06
1HM1,1,493.68
4310-001-1,1,162.843
4310-001-2,1,126.242
LN9025-0305N,20,1.309
V15R14-1-1AA,20,1.003
LN9438AM4X30,2,5.967
8630-03,5,3.825
8630-03A,5,3.825
252-8553-000,20,0.6885
MS24693BB30,1,2.142
3121-790,1,19.499
324158,10,0.7395
117-740161.10,1,5.117
LN9038K08036,2,37.094
MS3470L12-10S,1,64.9315
LN9439AM4X14,10,3.995
DIN965M4X20-4.8-H,50,4.9215
AFG0326928,1,1388.5855
LN9439AM3X8,10,1.751
MS24523-22,1,38.029
04-1120-0028,1,3437.655
DIN1440-8ST-A3C,20,4.8365
DIN1440-18ST-A3C,20,0.731
LN9499-03075,5,0.9265
LN9136-03012,10,4.386
MS28034-3,1,415.5055
SL61W-M45F,1,81.787
SL61WM45F,1,81.787
117-21181-02,1,4094.875
117-21199-51,1,11893.2425
117-21199-52,1,11662.204
117-21221-01,1,4031.091
117-21221-02,1,4007.7755
602EN602-6,1,1279.998
H386-3,1,1691.2025
117-22428-01,1,251.43
SNF1-1A-2.00-9.50-1.25,1,563.397
SNF-1-1A-2.00-9.5-1.25,1,563.397
SNF1-1A1-2.00-9.5-1.25,1,563.397
2334-63-1048S,1,129.7185
336-601DP28V,1,1263.831
336 601 DP 28VCC,1,1263.831
336 601DP,1,1263.831
117-62614-03,1,200.8975
117-62616-01,1,214.217
117-41308-03,1,57.3325
117-41309-03,1,200.498
117-41309-05,1,211.6075
117-62732-01,1,2332.893
117-61228-11,1,805.188
117-67156-01,1,95.7525
NSA936501TA2005,10,1.2325
936501-TA2005,10,1.2325
152658,10,1.2325
117-64152-01,1,6257.3515
117-64156-01,1,92.1145
117-64155-01,1,153.595
117-64155-03,1,154.4535
117-64157-01,1,117.2065
117-64157-03,1,117.0705
117-64159-01,1,143.2675
117-64159-03,1,142.579
MS29512-12,50,3.553
117-68145-01,1,85.9945
117-68145-05,1,124.695
117-68145-07,1,128.078
117-67135-01,1,822.7405
117-68126-01,1,547.0855
117-68146-01,1,61.098
117-68132-01,1,412.573
117-68146-03,1,58.3185
117-67031-01,1,1158.941
117-62618-01,1,277.3805
LN9037-05035,20,8.296
LN9037-05060,2,8.6105
15-0007-97,1,4391.1255
117-92040-03,1,713.031
117-92041-01,1,599.2075
LN29952-0510L,50,8.347
MS24523-26,1,58.191
U132,50,0.7395
MS3106F18-9S,1,78.642
LN9139M5X32,2,8.194
LN9139M5X22,2,6.7235
MS24659-23F,1,137.53
LN29875-8,1,67.1245
BYW56,5,0.527
BYW56-TAP,5,0.527
BYW 56,5,0.527
"OR144,5X3-83FKM592",1,42.8315
"OR  LU 144,50 3,00 83 FKM  592",1,42.8315
"OR LU 144,50-3,00  /MATERIAL ",1,42.8315
"OR   LU 144,50  3,00 83 FKM  ",1,42.8315
M400-1265,1,186.983
8630-15P,1,67.966
8630-01,10,7.735
M300-1264,1,156.1705
8500-02D,1,64.7445
LN9038K04010,5,1.53
LN29952-0305M,50,0.323
LN9438AM5X18,10,5.5505
LN29943-06018,1,23.001
8630-25S,1,127.0325
LN9025-0410N,10,2.227
SL850-M5C10C,1,14.535
LN9038-06044,20,3.8675
MS3320-5,1,32.1045
MS3320-10,1,32.096
DMN4-4,1,3359.523
MS25083-3PB4,1,10.9225
LN9037-05050,10,9.877
"DIN9021B4,3AL",50,1.1475
MS25083-2BB6,100,8.925
AN735D12,1,0.8925
4002SN,1,10.3445
MIL-R6130TYP2GRADE-A-S0FT-.,1,706.7495
AN735D10,10,2.074
KS1819,1,742.543
LN9439M4X28,20,5.457
AN735-8,10,1.292
LN9438AM5X10,5,4.4285
MS33737-9C,5,1.054
NAS487-13,5,1.054
LN29952-0310K,20,3.2215
MS3115-10A,1,40.528
RG179B-U,1,5.661
LN9038-03024,10,3.23
SN201F24N,1,24.65
LN9025-0405N,50,1.1985
LN9025-0510K,20,1.377
LN9136-04020,2,5.049
LN29986-04,2,1.6405
LN9367GE6N2,1,24.973
LN9161-03M,5,0.612
55PC0211-22-9,1,1.003
55PC0211-20-9,1,1.088
55PC1221-22-9/6-9,1,4.709
AN4CH7A,10,3.5785
3121-135,10,17.6205
HL86-5,1,8.0665
NSA935403-01,5,22.916
LN29794-04X14,1,4.2075
LN29794-06X18,1,6.307
DIN915M3X6-45H,10,4.6835
LN9198-2408BF,50,0.6715
LN9198-2412BF,100,0.0765
LN9240-4X2,1,16.9065
NAS1149C0732R,5,2.4055
DIN65188-0619Y,2,5.508
LN9438M5X28,2,8.313
LN9038-03036,2,14.4755
NAS1149D0316H,20,1.309
NAS1149F0432P,10,3.264
AN960-416L,10,3.264
AN960416L,10,3.264
LD12-002,1,2370.956
MS24693-A292,1,6.2135
MS24693A292,1,6.2135
105-45056,1,10224.565
LN9293A20,1,29.4865
LN9139M4X30,1,6.0265
SPGU90-15SZ,1,17.187
LN9136-05030,5,6.8935
S300-A1B3,1,63.053
G1109H8M4-1S,1,129.6335
NAS1149C0663R,100,0.2975
LN29522S08025,1,19.9495
LN9038-08050,2,5.6525
40165,1,19211.8275
105-46631.41,10,3.043
LN9038K08024,1,3.7145
LN9136-04028,1,6.0435
EMB10-14,1,1004.2325
LN9355-5X26,5,4.4115
KS8040B10A12A,1,15.7335
MS21920-43R,1,36.312
LN9025-0810N,10,1.428
48S08A,1,58.9645
GRUENKREUZ100X100SC0TCHC,3,26.707
LN9037-06026,5,8.33
8630-15S,1,114.359
104RT15X7INNEN,100,15.2235
A218-101117-00,1,599.76
656767,1,1623.449
LN29930-08X26,1,55.505
LN9037-05022,5,2.7455
MS24693BB56,100,10.098
S30-9ZY,5,3.366
MS24693BB34,10,0.034
LN9439AM4X10,10,0.8925
LN9499-04150,5,1.6065
UG573B-U,1,116.1185
R166.018.000,1,116.1185
R166018000,1,116.1185
8630-37S,1,31.212
DOC20-06,1,1686.74
D/G DOC20-06,1,1686.74
8-51-06RC20-41S50,1,198.0925
951 06 RC 20-41 S 50,1,198.0925
951-06 RC 20-41 S 50,1,198.0925
851-06RC20-41S50,1,198.0925
MS3320-20,1,48.025
AN735D14,5,1.6915
8630-05,2,1.8955
8630-05A,2,1.8955
LN9083-15X24S,1,11.594
LN29919-09,1,3.553
AN735-17,10,3.9015
LN9082-10X26,1,28.4495
LN9025-1825L,10,19.0825
MS29561-114,5,3.5105
MS29512-08,10,3.3065
MS28778-12,10,1.8785
18602,1,778.787
NAS1593-116,5,3.128
117-11173-01,1,23.868
117-11158-01,1,17.5525
117-11156-01,1,481.202
117-11182-01,1,14623.757
R7616,1,278.545
LN29522S08016,1,5.644
LN29522S08026,2,13.4385
5TCR106,2,20.315
3121-450,1,18.258
3747-711,1,12.665
LN9439AM5X14,10,4.998
LN9025-0520N,10,1.3685
LN9038K08030,10,4.4285
SP114,1,78.1745
SP114JK2A,1,78.1745
JK2A,1,78.1745
SP112,1,94.877
SP112JK1A,1,94.877
JK1A,1,94.877
8630-50S,1,84.5325
8630-93C37,1,5.4655
MS24523-21,1,55.4115
LN9025-1015L,20,4.9385
LN9082-12X18S,1,14.5605
LN29769-08038,1,21.2755
LN9264-10X125,1,13.8465
LN9025-1010L,10,3.7145
LN9161-10M,1,10.5315
LN29522S10022,1,6.987
SL850-M5C16C,1,13.668
SL 850-M5-C16C,1,13.668
LN65029K06007,2,3.5785
LN29952-0616L,10,7.412
LN9139M5X26,2,11.7215
10-500-11A-192,1,537.285
10-500-11A-163,1,791.078
10-500-11A-105,1,443.6745
LN9198-2405B,10,0.442
MS21919WH5,5,0.9605
LN9082-8X14S,1,12.24
LN29522S08032,1,12.206
