part_number,quantity,guide_price
066-01107-0001,1,25840.3315
55PC0211-22-9,1,1.003
DGL-50310,1,128.6305
55PC0211-20-9,1,1.088
55PC0211-8-9,1,16.7365
LN9438M6X42,2,50.1585
AN4CH7A,10,3.5785
NSA5063-16,1,69.9805
NSA5064-16,1,50.49
HL86-5,1,8.0665
NAS1919C04-02,1,5.066
NSA935403-01,5,22.916
LN29794-05X12,5,4.5645
LN29794-04X14,1,4.2075
LN29794-06X18,1,6.307
DIN915M3X6-45H,10,4.6835
LN9198-2408BF,50,0.6715
LN9198-2412BF,100,0.0765
LN9240-4X2,1,16.9065
LN29796-0405,1,8.1005
DIN65188-0619Y,2,5.508
LN9038-03036,2,14.4755
LN29790M3,20,3.3065
NAS1149F0432P,10,3.264
AN960-416L,10,3.264
AN960416L,10,3.264
LD12-002,1,2370.956
MS24693-A292,1,6.2135
MS24693A292,1,6.2135
LN29943K06034,1,5.338
LN9293A20,1,29.4865
LN9139M4X30,1,6.0265
SPGU90-15SZ,1,17.187
LN9136-05030,5,6.8935
S300-A1B3,1,63.053
LN9038-08050,2,5.6525
LN9136-04028,1,6.0435
EMB10-14,1,1004.2325
LN9499-07120,5,1.2835
8-51-00RC8-3A-S50,1,61.3955
MS21920-43R,1,36.312
LN9038-08028,5,3.7995
GRUENKREUZ100X100SC0TCHC,3,26.707
LN9037-06026,5,8.33
8630-15S,1,114.359
104RT15X7INNEN,100,15.2235
SL10-438M5,1,51.9435
656767,1,1623.449
LN9037-05022,5,2.7455
LN9038-06032,10,29.716
MS24693BB34,10,0.034
LN9439AM4X10,10,0.8925
UG573B-U,1,116.1185
R166.018.000,1,116.1185
R166018000,1,116.1185
8-51-00R20-41S50,1,164.067
8630-37S,1,31.212
DOC20-06,1,1686.74
D/G DOC20-06,1,1686.74
8-51-06RC20-41S50,1,198.0925
951 06 RC 20-41 S 50,1,198.0925
951-06 RC 20-41 S 50,1,198.0925
851-06RC20-41S50,1,198.0925
8630-05,2,1.8955
8630-05A,2,1.8955
LN9025-1825L,10,19.0825
MS29512-08,10,3.3065
5TCR106,2,20.315
LN9439AM5X14,10,4.998
LN29952-0825K,2,14.008
LN9025-0520N,10,1.3685
SP114,1,78.1745
SP114JK2A,1,78.1745
JK2A,1,78.1745
8630-50S,1,84.5325
MS24523-21,1,55.4115
LN9025-1015L,20,4.9385
LN9025-1010L,10,3.7145
LN9161-10M,1,10.5315
LN9037-06052,2,10.2
SL850-M5C16C,1,13.668
SL 850-M5-C16C,1,13.668
LN65029K06007,2,3.5785
LN29952-0616L,10,7.412
LN9139M5X26,2,11.7215
10-500-11A-71,1,349.5625
10-500-11A-192,1,537.285
10-500-11A-257,1,372.5805
10-500-11A-105,1,443.6745
NAS1149C0632R,100,0.0765
NAS1149CN816R,1,1.8105
AN960C8L,1,1.8105
0871FN2,1,29589.758
LN9198-2405B,10,0.442
418-00862-011,1,11079.699
MS21919WH5,5,0.9605
LN9082-8X14S,1,12.24
LN9438AM4X8,20,3.6805
DIN137B5B3C,20,0.952
LN9240-8X2,1,3.3235
HV1201B,100,0.102
"SL601M5-9,4C",1,4.25
LN9139M4X8,10,1.683
MS3320-1,1,31.7305
LN9136-04024,10,13.294
LN9038-03012,10,1.428
LN9038-03010,20,1.3515
LN9438M5X36,50,8.6445
10-4804-378,1,505.8775
10-4804 378,1,505.8775
MS3181-18C,1,24.191
MS24658-23F,1,192.2275
MS3470L12-10P,1,62.6025
MS3105-32,1,90.185
LN9082-8X22S,1,7.871
LN9428-35,1,92.327
26S8-4,2,14.382
LN9038-04035,1,2.703
LN9038-04030,5,2.431
LN9139M5X15,10,6.834
LN9438AM4X15,20,5.287
"DIN9021A5,3NRST",100,4.335
SL607M4-4S,10,16.5155
1121-23101.10,1,4.6495
MS35214-30,20,1.666
MS35214-28,20,0.714
MS35214-31,20,4.556
MS35214-32,100,4.93
LN9139M5X18,1,6.783
MS24693BB31,20,4.964
LN9038-08018,2,3.1195
MS33737-11C,2,1.0965
NAS487-15,2,1.0965
LN9038-05038,10,7.0295
LN9139M3X18,10,3.774
LN9037-05054,5,10.3615
AN4-13A,5,12.0445
LN9139M4X32,5,5.916
LN9139M4X36,5,6.528
LN9438AM4X20,50,4.93
GPN260Q2222,5,0.4165
"SL601M5-9,4S",1,3.9695
LN9198-3208BF,100,0.034
DIN7984M4X10B2C,20,1.7
MS35214-29,1,3.91
E0708G1D,3,9.639
ASNE0708G1D,3,9.639
E0708R1D,3,9.639
MS28775-016,5,2.2695
804016,5,2.2695
8GH004554-28,1,13.294
AJ3-25ST2,2,9.2735
LN9038-03008,20,1.2835
LN9016-04L,20,1.7425
MS35206-243,100,3.332
MS28775-011,2,2.159
19-04-135-022,2,2.159
8535-834,2,2.159
MS3450L16-11S,1,72.063
LN9245-28-10-2,1,135.1415
LN9139M4X14,20,3.9695
LN9139M4X22,1,6.035
LN9038-04018,5,1.1815
LN9439M4X14,1,4.046
D100-00,20,2.108
D-100-00,20,2.108
MS24524-31,1,84.7365
MS24523-31,1,90.525
MS27406-1,1,147.6365
AN743-12,2,0.4505
LN65045-08,2,14.1865
LN9139M5X10,1,5.6865
LN29681AM5,2,1.4705
"DIN46435L0,3M",1,0.0595
MS21919WDG3,10,0.765
MS21919WDG16,10,1.496
MS21919WDG12,10,2.159
MS21919WH6,5,2.3205
MS21919WH7,5,1.9635
LN9016-16K,5,14.807
LN29668AM4,5,2.4735
LN65045-06,2,3.179
LN9139M5X14,1,5.7545
0129N,1,6726.985
JBS11002-2,1,1069.232
JBS880-3,1,11262.33
LN65049-40L,10,0.7565
MS21919WDG2,5,2.482
DIN7331A4X9X6ST-SW,2,0.8075
DIN7331A4X11X12ST-SW,100,1.0285
S21-12SZ,2,6.6725
TRS10-6-10,1,4.267
EN3723-060,5,1.0285
DIN6548006D,5,1.0285
"DIN94-1,6X12ST",100,0.3145
1343-85,1,1121.5495
8-19-250-3/250N-427-677,1,276.369
"""V"" SEE INTERNAL REMARK",1,276.369
EN3723-080,5,1.8275
DIN6548008D,5,1.8275
"WALZ-BLANK-AL99,5-0,15",6,12.4015
LN9438AM6X16,1,5.6695
LN9136-03008,10,3.808
LN9439M3X14,10,3.1365
LN1434-05X16,2,23.63
LN29552M4,5,4.862
DIN7984M4X12B2C,20,1.5895
MBBN3087B0515,1,17.204
050-01361-0000,1,57.6215
"TAN15565.2-2,5MS",50,0.34
LN65045-05,5,2.159
LN29693AM5,1,4.233
LN9023A4-1.4544.9,5,0.9095
MS3459L10SL3S,1,119.204
H386-1,1,1649.544
LN9139M4X20,2,1.2155
LN9038K06028,10,3.145
LN9038-05024,10,2.4055
LN9342B05,5,4.879
LN9025-0815L,10,3.978
LN9025-0610L,100,0.3825
LN6799-070,1,5.0405
LN9198-4011BF,5,4.8875
MS3181-14C,1,20.6805
LN9342A06,10,1.326
LN9139M4X15,10,3.3065
MS21919WDG11,10,4.0885
MS21919WDG9,20,1.7765
MS21919WDG8,20,1.003
LN9025-0615K,50,1.887
