Cherry_Canonical,Cherry_Erroneous,ALLFAST,NAS,ASNA,MS,AGUSTA
CR3522-3-34,,AF3522-3-34,NAS9308M-3-34,ASNA0077E334,,
CR3522-3-35,,AF3522-3-35,NAS9308M-3-35,ASNA0077E335,,
CR3522-3-36,,AF3522-3-36,NAS9308M-3-36,ASNA0077E336,,
CR3522-3-37,,AF3522-3-37,NAS9308M-3-37,ASNA0077E337,,
CR3522-3-38,,AF3522-3-38,NAS9308M-3-38,ASNA0077E338,,
CR3522-3-39,,AF3522-3-39,NAS9308M-3-39,ASNA0077E339,,
CR3522-3-40,,AF3522-3-40,NAS9308M-3-40,ASNA0077E340,,
CR3522-4-01,CR3522-4-1,AF3522-4-01,NAS9308M-4-01,ASNA0077E401,,
CR3522-4-02,CR3522-4-2,AF3522-4-02,NAS9308M-4-02,ASNA0077E402,,
CR3522-4-03,CR3522-4-3,AF3522-4-03,NAS9308M-4-03,ASNA0077E403,,
CR3522-4-04,CR3522-4-4,AF3522-4-04,NAS9308M-4-04,ASNA0077E404,,
CR3522-4-05,CR3522-4-5,AF3522-4-05,NAS9308M-4-05,ASNA0077E405,,
CR3522-4-06,CR3522-4-6,AF3522-4-06,NAS9308M-4-06,ASNA0077E406,,
CR3522-4-07,CR3522-4-7,AF3522-4-07,NAS9308M-4-07,ASNA0077E407,,
CR3522-4-08,CR3522-4-8,AF3522-4-08,NAS9308M-4-08,ASNA0077E408,,
CR3522-4-09,CR3522-4-9,AF3522-4-09,NAS9308M-4-09,ASNA0077E409,,
CR3522-4-10,,AF3522-4-10,NAS9308M-4-10,ASNA0077E410,,
CR3522-4-11,,AF3522-4-11,NAS9308M-4-11,ASNA0077E411,,
CR3522-4-12,,AF3522-4-12,NAS9308M-4-12,ASNA0077E412,,
CR3522-4-13,,AF3522-4-13,NAS9308M-4-13,ASNA0077E413,,
CR3522-4-14,,AF3522-4-14,NAS9308M-4-14,ASNA0077E414,,
CR3522-4-15,,AF3522-4-15,NAS9308M-4-15,ASNA0077E415,,
CR3522-4-16,,AF3522-4-16,NAS9308M-4-16,ASNA0077E416,,
CR3522-4-17,,AF3522-4-17,NAS9308M-4-17,ASNA0077E417,,
CR3522-4-18,,AF3522-4-18,NAS9308M-4-18,ASNA0077E418,,
CR3522-4-19,,AF3522-4-19,NAS9308M-4-19,ASNA0077E419,,
CR3522-4-20,,AF3522-4-20,NAS9308M-4-20,ASNA0077E420,,
CR3522-4-21,,AF3522-4-21,NAS9308M-4-21,ASNA0077E421,,
CR3522-4-22,,AF3522-4-22,NAS9308M-4-22,ASNA0077E422,,
CR3522-4-23,,AF3522-4-23,NAS9308M-4-23,ASNA0077E423,,
CR3522-4-24,,AF3522-4-24,NAS9308M-4-24,ASNA0077E424,,
CR3522-4-25,,AF3522-4-25,NAS9308M-4-25,ASNA0077E425,,
CR3522-4-26,,AF3522-4-26,NAS9308M-4-26,ASNA0077E426,,
